batch,model,widthLoIn,widthHiIn,rawHeader,styleCount,styles
range1,150U,0,122,150U-LTE10-2,0,
range2,150U,122,146,150U-GT10-2-LTE12-2,5,None | U_UBAR | U_UBAR_20ga_Top | U_UBAR_20ga_ES | U_UBAR_18ga_ES
range2,150U,146,170,150U-GT12-2-LTE14-2,5,1_16GaSTDTrussEvery2ndSection | U_UBAR | U_UBAR_20ga_Top | U_UBAR_20ga_ES | U_UBAR_18ga_ES
range2,150U,170,182,150U-GT14-2-LTE15-2,5,1_16GaSTDTrussEvery2ndSection | U_UBAR | U_UBAR_20ga_Top | U_UBAR_20ga_ES | U_UBAR_18ga_ES
range2,150U,182,206,150U-GT15-2-LTE17-2,5,1_16GaSTDTrussEverySection | U_UBAR | U_UBAR_20ga_Top | U_UBAR_20ga_ES | U_UBAR_18ga_ES
range2,150U,206,210,150U-GT17-2-LTE17-6,5,1_16GaSTDTrussEverySection | U_UBAR | U_UBAR_20ga_Top | U_UBAR_20ga_ES | U_UBAR_18ga_ES
range2,150U,210,242,150U-GT17-6-LTE20-2,5,1_16GaSTDTrussEverySection | U_UBAR | U_UBAR_20ga_Top | U_UBAR_20ga_ES | U_UBAR_18ga_ES
range2,150U,242,254,150U-GT20-2-LTE21-2,5,2_16GaSTDTrussesEverySection | U_UBAR | U_UBAR_20ga_Top | U_UBAR_20ga_ES | U_UBAR_18ga_ES
range2,150U,254,290,150U-GT21-2-LTE24-2,0,
