batch,model,widthLoIn,widthHiIn,rawHeader,styleCount,styles
range6,,352,355,GT29-4LTE29-7,0,
range6,,355,360,GT29-7LTE30-0,0,
range7,,360,361,GT30-0LTE30-1,1,EXCEEDS_CAPACITY
range7,,361,362,GT30-1LTE30-2,1,EXCEEDS_CAPACITY
range7,,362,363,GT30-2LTE30-3,1,EXCEEDS_CAPACITY
range7,,363,364,GT30-3LTE30-4,1,EXCEEDS_CAPACITY
range7,,364,368,GT30-4LTE30-8,1,EXCEEDS_CAPACITY
range7,,368,369,GT30-8LTE30-9,1,EXCEEDS_CAPACITY
range7,,369,370,GT30-9LTE30-10,1,EXCEEDS_CAPACITY
range7,,370,374,GT30-10LTE31-2,1,EXCEEDS_CAPACITY
range7,,374,376,GT31-2LTE31-4,1,EXCEEDS_CAPACITY
range7,,376,386,GT31-4LTE32-2,1,EXCEEDS_CAPACITY
range7,,386,390,GT32-2LTE32-6,1,EXCEEDS_CAPACITY
range7,,390,400,GT32-6LTE33-4,1,EXCEEDS_CAPACITY
range7,,400,403,GT33-4LTE33-7,1,EXCEEDS_CAPACITY
range7,,403,405,GT33-7LTE33-9,1,EXCEEDS_CAPACITY
range7,,405,408,GT33-9LTE34-0,1,EXCEEDS_CAPACITY
range7,,408,409,GT34-0LTE34-1,1,EXCEEDS_CAPACITY
range7,,409,410,GT34-1LTE34-2,1,EXCEEDS_CAPACITY
range7,,410,422,GT34-2LTE35-2,1,EXCEEDS_CAPACITY
range7,,422,432,GT35-2LTE36-0,1,EXCEEDS_CAPACITY
range7,,432,462,GT36-0LTE38-6,1,EXCEEDS_CAPACITY
range7,,462,479,GT38-6LTE39-11,1,EXCEEDS_CAPACITY
range7,,479,482,GT39-11LTE40-2,11,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18TopBtmEvery2ndGT5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18TopBtmEvery2ndGT5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16TopBtmEvery2ndGT5EC | T4.0x16EverySection
